filename,candidate,expected,predicted,failure_bucket,notes
meter_20200701.JPEG,roi-90-base-roi,1784,2787,overwide_split,"cells 1 and 4 contain no digits; cells 2 and 3 contain two digits each"
meter_20260214.JPEG,roi-90-base-roi,2311,7372,degenerate_rotated,"runtime strip is rotated 90 degrees upward and contains only one digit"
meter_20260216.JPEG,roi-90-base-roi,2312,2314,overwide_split,"cells 1 and 4 contain no digits; cells 2 and 3 contain two digits each"
meter_20260401.JPEG,roi-90-base-roi,2322,3190,right_truncated,"runtime strip is truncated on the right and contains only two digits"
meter_20260409.JPEG,roi-90-base-roi,2323,2230,right_truncated,"runtime strip is truncated on the right and contains only two digits"
meter_20260413.JPEG,roi-90-edge-roi,2324,2374,classifier_or_local_split,"runtime strip is good; cell 3 clearly contains a 2 but the model predicts 7"
meter_20260416.JPEG,roi-90-base-roi,2325,7732,degenerate_no_digits,"runtime strip captures no usable digits"
meter_20260420.JPEG,roi-90-base-roi,2326,2271,overwide_rotated_split,"right side of strip is rotated upward; cells 1 and 4 contain no digits; cells 2 and 3 contain two digits each"
meter_20260423.JPEG,roi-90-base-roi,2327,2377,overwide_split,"cells 1 and 4 contain no digits; cells 2 and 3 contain two digits each"
meter_20260427.JPEG,roi-90-base-roi,2328,221,overwide_split,"dark but readable strip; cells 1 and 4 contain no digits; cells 2 and 3 contain two digits each"
meter_20260507.JPEG,roi-90-base-roi,2330,2277,overwide_blurry_split,"runtime strip is dark and blurred; cells 1 and 4 contain no digits; cells 2 and 3 contain two digits each"
meter_20260512.JPEG,roi-90-base-roi,2331,3190,right_truncated,"runtime strip is truncated on the right and two digits are missing"
meter_20260515.JPEG,roi-90-base-roi,2332,2233,right_truncated,"runtime strip is truncated on the right and two digits are missing"
meter_20260518.JPEG,roi-90-base-roi,2333,1320,right_truncated,"runtime strip is truncated on the right and two digits are missing"
meter_20260521.JPEG,roi-90-edge-roi,2334,2304,classifier_or_local_split,"cells 1, 2, and 3 are good; model reads the 3 in cell 3 as 0; last digit is split but identified as 4"
